Geneid	Chr	Start	End	Strand	Length	Drosha_1
mmu-miR-6341	chr1	12426016	12426038	+	23	0
mmu-miR-206-5p	chr1	20679017	20679039	+	23	0
mmu-miR-206-3p	chr1	20679055	20679076	+	22	0
mmu-miR-133b-5p	chr1	20682797	20682818	+	22	0
mmu-miR-133b-3p	chr1	20682834	20682855	+	22	0
mmu-miR-30a-5p	chr1	23272274	23272295	+	22	612
mmu-miR-30a-3p	chr1	23272315	23272336	+	22	15
mmu-miR-30c-5p	chr1	23291714	23291736	+	23	61
mmu-miR-30c-2-3p	chr1	23291754	23291775	+	22	0
mmu-miR-6342	chr1	29421552	29421573	+	22	0
mmu-miR-6896-5p	chr1	34117364	34117385	+	22	5
mmu-miR-6896-3p	chr1	34117408	34117429	+	22	0
mmu-miR-5103	chr1	34433130	34433149	-	20	0
mmu-miR-6897-5p	chr1	36144290	36144312	-	23	0
mmu-miR-6897-3p	chr1	36144252	36144272	-	21	0
mmu-miR-6898-5p	chr1	36348732	36348753	-	22	1
mmu-miR-6898-3p	chr1	36348688	36348708	-	21	0
mmu-miR-6349	chr1	39186908	39186929	-	22	0
mmu-miR-6350	chr1	47467097	47467117	-	21	0
mmu-miR-7681-5p	chr1	53849424	53849443	+	20	0
mmu-miR-7681-3p	chr1	53849474	53849495	+	22	0
mmu-miR-6899-5p	chr1	64042476	64042496	-	21	0
mmu-miR-6899-3p	chr1	64042438	64042460	-	23	1
mmu-miR-6351	chr1	73855553	73855575	-	23	0
mmu-miR-1928	chr1	74206562	74206578	-	17	0
mmu-miR-26b-5p	chr1	74394324	74394344	+	21	169
mmu-miR-26b-3p	chr1	74394360	74394381	+	22	3
mmu-miR-375-5p	chr1	74900696	74900717	-	22	0
mmu-miR-375-3p	chr1	74900661	74900682	-	22	8
mmu-miR-6343	chr1	76509620	76509641	+	22	0
mmu-miR-6352	chr1	77496731	77496752	-	22	0
mmu-miR-6344	chr1	82131926	82131947	+	22	0
mmu-miR-6353	chr1	84218926	84218948	-	23	0
mmu-miR-5126	chr1	84695890	84695911	+	22	293
mmu-miR-8096	chr1	85751983	85752002	+	20	0
mmu-miR-3535	chr1	86352062	86352087	-	26	707
mmu-miR-6900-5p	chr1	92464514	92464537	-	24	0
mmu-miR-6900-3p	chr1	92464483	92464503	-	21	0
mmu-miR-149-5p	chr1	92850381	92850403	+	23	0
mmu-miR-149-3p	chr1	92850421	92850442	+	22	0
mmu-miR-6901-5p	chr1	93274554	93274573	+	20	3
mmu-miR-6901-3p	chr1	93274585	93274604	+	20	0
mmu-miR-6902-5p	chr1	93346097	93346118	+	22	0
mmu-miR-6902-3p	chr1	93346135	93346155	+	21	0
mmu-miR-6345	chr1	93352191	93352211	+	21	0
mmu-miR-3473f	chr1	106546536	106546555	-	20	0
mmu-miR-6346	chr1	118954278	118954299	+	22	0
mmu-miR-128-1-5p	chr1	128202369	128202389	+	21	0
mmu-miR-128-3p	chr1	128202404	128202424	+	21	0
mmu-miR-135b-5p	chr1	132198103	132198125	+	23	3
mmu-miR-135b-3p	chr1	132198142	132198163	+	22	2
mmu-miR-6903-5p	chr1	133726619	133726640	-	22	0
mmu-miR-6903-3p	chr1	133726564	133726583	-	20	0
mmu-miR-1231-5p	chr1	135454661	135454683	-	23	0
mmu-miR-1231-3p	chr1	135454603	135454625	-	23	1
mmu-miR-181a-5p	chr1	137966468	137966490	+	23	2
mmu-miR-181a-1-3p	chr1	137966508	137966529	+	22	0
mmu-miR-181b-5p	chr1	137966650	137966672	+	23	0
mmu-miR-181b-1-3p	chr1	137966690	137966708	+	19	0
mmu-miR-7682-5p	chr1	151442393	151442416	+	24	0
mmu-miR-7682-3p	chr1	151442430	151442450	+	21	0
mmu-miR-8114	chr1	153899989	153900009	+	21	45
mmu-miR-488-5p	chr1	158505651	158505671	+	21	0
mmu-miR-488-3p	chr1	158505689	158505709	+	21	0
mmu-miR-1843b-5p	chr1	159340362	159340382	+	21	30
mmu-miR-1843b-3p	chr1	159340400	159340419	+	20	8
mmu-miR-1927	chr1	160295885	160295907	-	23	0
mmu-miR-199a-5p	chr1	162217844	162217866	+	23	0
mmu-miR-199a-3p	chr1	162217883	162217904	+	22	4
mmu-miR-214-5p	chr1	162223397	162223418	+	22	0
mmu-miR-214-3p	chr1	162223438	162223459	+	22	0
mmu-miR-6347	chr1	167290125	167290146	+	22	0
mmu-miR-6348	chr1	168490740	168490761	+	22	0
mmu-miR-6354	chr1	169019041	169019061	-	21	0
mmu-miR-6546-5p	chr1	171064629	171064652	-	24	7
mmu-miR-6546-3p	chr1	171064591	171064611	-	21	1
mmu-miR-7683-5p	chr1	171641879	171641900	-	22	0
mmu-miR-7683-3p	chr1	171641840	171641860	-	21	0
mmu-miR-350-5p	chr1	176772382	176772400	-	19	0
mmu-miR-350-3p	chr1	176772342	176772363	-	22	0
mmu-miR-6904-5p	chr1	180587206	180587227	+	22	0
mmu-miR-6904-3p	chr1	180587243	180587260	+	18	2
mmu-miR-1981-5p	chr1	184822465	184822488	-	24	194
mmu-miR-1981-3p	chr1	184822409	184822429	-	21	52
mmu-miR-664-5p	chr1	185242975	185242995	+	21	18
mmu-miR-664-3p	chr1	185243012	185243033	+	22	15
mmu-miR-194-5p	chr1	185313325	185313346	+	22	2
mmu-miR-194-1-3p	chr1	185313360	185313381	+	22	0
mmu-miR-215-5p	chr1	185313610	185313630	+	21	0
mmu-miR-215-3p	chr1	185313647	185313667	+	21	0
mmu-miR-3473c	chr1	191998602	191998623	-	22	0
